<Route>
id,name,routeColor
c444bfa2-282e-4b98-9f20-1a2806c7984c,横浜〜西谷,0xff000000
<Path>
id,start_station_id,end_station_id,seq
d46f3b05-f626-4859-b699-4c228d12cc16,81d57f71-fac2-4e55-b5f8-b3db40214628,9313510f-e605-4d38-b42e-ae9e28fcb1b3,1
7d463a17-c047-4502-8584-9dc7ef2ec444,9313510f-e605-4d38-b42e-ae9e28fcb1b3,7d9a837f-e41d-4c82-84b3-a46b5cff7be2,2
<Trip>
id,direction,trainClass_id,train_id
06599f70-c35c-4c2d-ad7c-96ba78a3e263,0,511abe32-5367-46c8-a408-f3d37e211d11,0200a722-ead5-4ff1-b681-c1bf5848aa3f
f9287b20-6dbf-467c-b45e-037f93696af0,1,511abe32-5367-46c8-a408-f3d37e211d11,28f1bb92-a4f4-4dd2-b3fd-b3193ac35691
aaf04a7f-c2ec-44c4-812b-ff060ef35eba,0,511abe32-5367-46c8-a408-f3d37e211d11,b20d194d-17a0-4353-a396-870a5ecf499a
ad03f5e9-8424-418e-97c5-1c76549eaccc,1,511abe32-5367-46c8-a408-f3d37e211d11,effcf5aa-2446-47f6-b885-569b589e14c2
<PathTime>
id,trip_id,direction,path_id,dep_time,ari_time,stop_id,stop_type
792b06db-db6e-47d5-ac56-f6deae90c716,06599f70-c35c-4c2d-ad7c-96ba78a3e263,0,d46f3b05-f626-4859-b699-4c228d12cc16,36000,36240,5f8ff5bc-aa23-4a19-9b63-d0422dda5d2a,1
f8205a3b-19b1-438e-8e84-40555f7c2287,06599f70-c35c-4c2d-ad7c-96ba78a3e263,0,7d463a17-c047-4502-8584-9dc7ef2ec444,36300,36480,9982adf6-18d2-416b-9dcb-a0919d00b912,1
0d221e18-367d-43c7-8551-9026c27ec8e7,06599f70-c35c-4c2d-ad7c-96ba78a3e263,0,,,,c4276f81-7608-4fa8-b5e6-cc34a75aeba5,1
1146b3de-5e4d-4bb0-8f43-41da4cd42116,aaf04a7f-c2ec-44c4-812b-ff060ef35eba,0,d46f3b05-f626-4859-b699-4c228d12cc16,36600,36840,5f8ff5bc-aa23-4a19-9b63-d0422dda5d2a,1
35025ccf-7861-4288-ac97-562f06aa535a,aaf04a7f-c2ec-44c4-812b-ff060ef35eba,0,7d463a17-c047-4502-8584-9dc7ef2ec444,36900,37080,9982adf6-18d2-416b-9dcb-a0919d00b912,1
28e29f12-0cd7-4f03-acea-f0d1b49edf6c,aaf04a7f-c2ec-44c4-812b-ff060ef35eba,0,,,,c4276f81-7608-4fa8-b5e6-cc34a75aeba5,1
4028490f-bd7b-4c02-be14-423751afe1ce,ad03f5e9-8424-418e-97c5-1c76549eaccc,1,7d463a17-c047-4502-8584-9dc7ef2ec444,37140,37320,c4276f81-7608-4fa8-b5e6-cc34a75aeba5,1
4ed37cc7-7b75-425d-88e8-1d7d677ad205,ad03f5e9-8424-418e-97c5-1c76549eaccc,1,d46f3b05-f626-4859-b699-4c228d12cc16,37380,37800,9982adf6-18d2-416b-9dcb-a0919d00b912,1
78582804-4430-4fd3-93bd-106e75da2e44,ad03f5e9-8424-418e-97c5-1c76549eaccc,1,,,,5f8ff5bc-aa23-4a19-9b63-d0422dda5d2a,1
a6ae4774-2670-48cc-8c8a-76ee3538f06a,f9287b20-6dbf-467c-b45e-037f93696af0,1,7d463a17-c047-4502-8584-9dc7ef2ec444,37920,38340,c4276f81-7608-4fa8-b5e6-cc34a75aeba5,1
c0b201eb-c3b7-4493-8d35-c7bb0cd5296f,f9287b20-6dbf-467c-b45e-037f93696af0,1,d46f3b05-f626-4859-b699-4c228d12cc16,38400,38820,9982adf6-18d2-416b-9dcb-a0919d00b912,1
7d3e4eef-be13-45d4-8b6d-86e8e22d1fe8,f9287b20-6dbf-467c-b45e-037f93696af0,1,,,,5f8ff5bc-aa23-4a19-9b63-d0422dda5d2a,1
