<Route>
id,name,routeColor
40d01d47-3754-4dbc-8e31-a981e7f89eec,二俣川〜海老名,0xff000000
<Path>
id,start_station_id,end_station_id,seq
8fd13544-70d5-4b62-95e0-713d00f76bbc,53534708-9eac-418b-8640-671acbf247c2,8cd6ccb0-a139-4cd5-ae6b-d5a8f64bab29,1
dfb7c7ea-7aae-47ab-92fd-de4be75448d1,8cd6ccb0-a139-4cd5-ae6b-d5a8f64bab29,60e1e918-81ab-437a-a3cc-b60c502eae9f,2
<Trip>
id,direction,trainClass_id,train_id
be765317-27c5-4d19-b0e5-756e7e2381cd,0,511abe32-5367-46c8-a408-f3d37e211d11,0200a722-ead5-4ff1-b681-c1bf5848aa3f
67411f28-195b-412b-a340-a453a2b9ac08,1,511abe32-5367-46c8-a408-f3d37e211d11,28f1bb92-a4f4-4dd2-b3fd-b3193ac35691
8f2b50ab-22cb-4bb0-af64-7d7fb2f01f77,0,511abe32-5367-46c8-a408-f3d37e211d11,8bfb2913-5c1d-4a32-ace0-2442944cac0c
4d698d5f-193e-4b48-89be-8cd9d6868a81,1,511abe32-5367-46c8-a408-f3d37e211d11,df78665e-cb07-4783-8ba7-c92ff0ab02d1
<PathTime>
id,trip_id,direction,path_id,dep_time,ari_time,stop_id,stop_type
526b292e-065b-45b7-8ba5-11821aaa878b,4d698d5f-193e-4b48-89be-8cd9d6868a81,1,dfb7c7ea-7aae-47ab-92fd-de4be75448d1,36480,36600,4c7ea40a-aa40-4c95-8d76-c53009189e7c,1
a5bff2cc-2109-483a-be45-00d731da0369,4d698d5f-193e-4b48-89be-8cd9d6868a81,1,8fd13544-70d5-4b62-95e0-713d00f76bbc,36720,37140,36411d14-765c-41f1-95e3-7fce84558923,1
a65ebd48-e40d-4f7f-b535-f343cb0cc620,4d698d5f-193e-4b48-89be-8cd9d6868a81,1,,,,ce1aeb53-d754-43f6-a058-30a637fa25f3,1
72087c18-6f53-4b1f-ba55-f0754ccf3714,67411f28-195b-412b-a340-a453a2b9ac08,1,dfb7c7ea-7aae-47ab-92fd-de4be75448d1,36000,36240,4c7ea40a-aa40-4c95-8d76-c53009189e7c,1
b74b16e0-3f2c-46d1-93d5-819adb87a60e,67411f28-195b-412b-a340-a453a2b9ac08,1,8fd13544-70d5-4b62-95e0-713d00f76bbc,36240,36420,36411d14-765c-41f1-95e3-7fce84558923,1
9fba3b34-ca09-4b30-9d14-5db302bed9b0,67411f28-195b-412b-a340-a453a2b9ac08,1,,,,ce1aeb53-d754-43f6-a058-30a637fa25f3,1
ea7df289-f298-4b65-8542-01d8b6f2919a,8f2b50ab-22cb-4bb0-af64-7d7fb2f01f77,0,8fd13544-70d5-4b62-95e0-713d00f76bbc,36480,36780,ce1aeb53-d754-43f6-a058-30a637fa25f3,1
3602c791-0951-4e05-954b-420a4984e822,8f2b50ab-22cb-4bb0-af64-7d7fb2f01f77,0,dfb7c7ea-7aae-47ab-92fd-de4be75448d1,36900,37320,36411d14-765c-41f1-95e3-7fce84558923,1
b25019c0-4e4b-46a0-962f-864fb8f9d174,8f2b50ab-22cb-4bb0-af64-7d7fb2f01f77,0,,,,4c7ea40a-aa40-4c95-8d76-c53009189e7c,1
81f0600e-0a1d-4d02-afbb-ecd891d1e492,be765317-27c5-4d19-b0e5-756e7e2381cd,0,8fd13544-70d5-4b62-95e0-713d00f76bbc,37440,37860,ce1aeb53-d754-43f6-a058-30a637fa25f3,1
c1f86491-cb88-4fbf-81f9-89c7d8ae6eba,be765317-27c5-4d19-b0e5-756e7e2381cd,0,dfb7c7ea-7aae-47ab-92fd-de4be75448d1,37920,38160,36411d14-765c-41f1-95e3-7fce84558923,1
eee08a8a-d07c-4a02-8b6c-9d32ec632b0f,be765317-27c5-4d19-b0e5-756e7e2381cd,0,,,,4c7ea40a-aa40-4c95-8d76-c53009189e7c,1
